source,destination,distance,transport_cost,transport_time,carbon_emission_factor,capacity
W3,R11,642.7767419479154,32.13883709739577,2.0,12.855534838958308,19042.321612411717
W3,R12,720.5569799163791,36.02784899581896,2.0,14.411139598327582,13550.917551340475
W3,R14,207.5760233388561,10.378801166942806,1.0,4.1515204667771215,19850.80775156395
W3,R16,317.566564478075,15.87832822390375,1.0,6.3513312895615,18160.596078919334
W3,R17,78.58863197279254,3.9294315986396273,1.0,1.5717726394558509,15455.23611492902
W3,R18,844.2913598483768,42.21456799241884,2.0,16.885827196967536,10392.367268296328
W3,R20,803.6040546577865,40.18020273288933,2.0,16.07208109315573,17151.70092018771
W4,R1,348.13116018174395,17.4065580090872,1.0,6.962623203634879,18698.60828834707
W4,R2,317.79078098803575,15.889539049401789,1.0,6.355815619760715,12522.744420307994
W4,R3,307.6003972700313,15.380019863501566,1.0,6.1520079454006265,14749.458961666478
W4,R4,908.146395424306,45.4073197712153,2.0,18.16292790848612,16936.890041541516
W4,R5,340.8198620670219,17.040993103351095,1.0,6.816397241340439,10069.927352773037
W4,R8,527.4931577304131,26.37465788652066,1.0,10.549863154608262,5539.134106951131
W4,R10,647.6512774239474,32.38256387119737,2.0,12.953025548478948,9298.118781924266
W4,R11,218.08157214627124,10.904078607313563,1.0,4.361631442925425,5457.503749085741
W4,R13,406.3628574864207,20.318142874321037,1.0,8.127257149728415,10402.859621168944
W4,R15,192.78358043798573,9.639179021899288,1.0,3.8556716087597147,16549.903296479162
W4,R17,431.60909841774776,21.58045492088739,1.0,8.632181968354955,6280.2119749065205
W4,R19,634.8890490788539,31.744452453942696,2.0,12.697780981577077,13109.526824151599
W4,R20,402.58773016364364,20.129386508182183,1.0,8.051754603272872,15891.370005839923
W5,R1,412.1769331039441,20.60884665519721,1.0,8.243538662078883,12744.505224517929
W5,R3,182.75393343006186,9.137696671503093,1.0,3.6550786686012375,9062.483768931113
W5,R7,555.6680631092792,27.783403155463958,1.0,11.113361262185583,17539.701807683086
W5,R8,492.79623343724325,24.639811671862162,1.0,9.855924668744866,11134.294166214047
W5,R12,321.3485040436727,16.067425202183635,1.0,6.426970080873454,15718.938840500936
W5,R13,353.39397451149574,17.669698725574786,1.0,7.067879490229915,9199.008454189143
W5,R14,648.8804628718076,32.44402314359038,2.0,12.977609257436152,16068.453750436527
W5,R15,163.6758527190498,8.183792635952491,1.0,3.273517054380996,14175.811193515283
W5,R19,428.95010009649684,21.447505004824844,1.0,8.579002001929936,5215.902329446338
W6,R3,738.7652640558338,36.93826320279169,2.0,14.775305281116676,15554.867890700356
W6,R11,679.4295023201174,33.97147511600587,2.0,13.588590046402349,14526.404763014658
W6,R14,464.866968715627,23.243348435781353,1.0,9.297339374312541,12547.043878701315
W6,R15,398.47298671243266,19.923649335621633,1.0,7.9694597342486535,14880.404474284174
W6,R18,838.6853706048782,41.93426853024391,2.0,16.773707412097565,5397.669658124327
W6,R19,692.0576154765472,34.60288077382736,2.0,13.841152309530944,19103.453621374363
W6,R20,794.0697063378719,39.7034853168936,2.0,15.881394126757439,10822.548893097828
W7,R1,831.9433310059596,41.597166550297985,2.0,16.63886662011919,11873.79335737275
W7,R2,846.4377540983564,42.32188770491783,2.0,16.92875508196713,19121.972131647875
W7,R4,131.42340457581813,6.571170228790907,1.0,2.6284680915163627,18580.25962934096
W7,R10,302.0374706633058,15.10187353316529,1.0,6.0407494132661155,6067.829726903435
W7,R12,397.9862176759509,19.899310883797547,1.0,7.959724353519018,5349.079036037388
W7,R13,626.1393681937388,31.306968409686945,2.0,12.522787363874777,9227.821621600999
W7,R15,734.8455129294189,36.742275646470944,2.0,14.696910258588378,14434.14270169826
W7,R16,843.2506798659207,42.16253399329604,2.0,16.865013597318413,16026.065657058287
W7,R17,1083.4989751745256,54.17494875872629,2.0,21.669979503490513,9230.518588569597
W7,R19,306.9857778419212,15.349288892096062,1.0,6.139715556838425,17102.52108900896
W7,R20,752.9322996070001,37.64661498035001,2.0,15.058645992140002,11189.265153671397
W8,R2,281.3905691579151,14.069528457895755,1.0,5.627811383158302,10112.053103795268
W8,R3,608.4773149733778,30.42386574866889,2.0,12.169546299467557,17876.19127764518
W8,R5,625.0102227586254,31.250511137931273,2.0,12.50020445517251,16318.143111270236
W8,R7,281.60924068082807,14.080462034041403,1.0,5.632184813616561,12578.785586717857
W8,R8,551.5606560897176,27.57803280448588,1.0,11.031213121794352,9800.744015459175
W8,R9,257.28287664906946,12.864143832453474,1.0,5.14565753298139,10838.025181012446
W8,R11,518.1961185927174,25.909805929635873,1.0,10.363922371854349,6369.300151792004
W8,R13,492.12177503315974,24.60608875165799,1.0,9.842435500663195,19259.10720406334
W8,R14,165.69318276572602,8.284659138286301,1.0,3.3138636553145204,14477.558182546989
W8,R18,737.3105649245443,36.86552824622722,2.0,14.746211298490888,16285.6179415652
W8,R19,867.8700570632302,43.393502853161515,2.0,17.357401141264603,16844.272141918307
